Actor Name,Name,Drop Table Name,Drop Reason,Drop,Amount,Drop Chance
Animal_Fish_E,Mighty Carp,,BurnedOut,Roasted Carp,1,100%
Animal_Fish_E,Mighty Carp,,Iced,Frozen Carp,1,100%
Animal_Fish_E,Mighty Carp,,,Mighty Carp,1,100%
Animal_Fish_F,Mighty Porgy,,BurnedOut,Roasted Porgy,1,100%
Animal_Fish_F,Mighty Porgy,,Iced,Frozen Porgy,1,100%
Animal_Fish_F,Mighty Porgy,,,Mighty Porgy,1,100%
Animal_Fish_G,Armored Porgy,,BurnedOut,Roasted Porgy,1,100%
Animal_Fish_G,Armored Porgy,,Iced,Frozen Porgy,1,100%
Animal_Fish_G,Armored Porgy,,,Armored Porgy,1,100%
Animal_Fish_H,Armored Carp,,BurnedOut,Roasted Carp,1,100%
Animal_Fish_H,Armored Carp,,Iced,Frozen Carp,1,100%
Animal_Fish_H,Armored Carp,,,Armored Carp,1,100%
Animal_Fish_I,Hearty Salmon,,BurnedOut,Roasted Hearty Salmon,1,100%
Animal_Fish_I,Hearty Salmon,,Iced,Frozen Hearty Salmon,1,100%
Animal_Fish_I,Hearty Salmon,,,Hearty Salmon,1,100%
Animal_Fish_J,Sizzlefin Trout,,BurnedOut,Roasted Trout,1,100%
Animal_Fish_J,Sizzlefin Trout,,Iced,Frozen Trout,1,100%
Animal_Fish_J,Sizzlefin Trout,,,Sizzlefin Trout,1,100%
Animal_Fish_L,Staminoka Bass,Staminoka Bass,BurnedOut,Roasted Bass,1,100%
Animal_Fish_L,Staminoka Bass,Staminoka Bass,Iced,Frozen Bass,1,100%
Animal_Fish_L,Staminoka Bass,Staminoka Bass,,Staminoka Bass,1,100%
Animal_Fish_M,Sneaky River Snail,,BurnedOut,Sneaky River Escargot,1,100%
Animal_Fish_M,Sneaky River Snail,,Iced,Frozen River Snail,1,100%
Animal_Fish_M,Sneaky River Snail,,,Sneaky River Snail,1,100%
Animal_Fish_X,Stealthfin Trout,,BurnedOut,Roasted Trout,1,100%
Animal_Fish_X,Stealthfin Trout,,Iced,Frozen Trout,1,100%
Animal_Fish_X,Stealthfin Trout,,,Stealthfin Trout,1,100%
Animal_Fish_Z,Sanke Carp,,BurnedOut,Roasted Carp,1,100%
Animal_Fish_Z,Sanke Carp,,Iced,Frozen Carp,1,100%
Animal_Fish_Z,Sanke Carp,,,Sanke Carp,1,100%
Animal_Fox_A,Grassland Fox,,,Raw Meat,1,100%
Animal_Fox_A,Grassland Fox,,BurnedOut,Seared Steak,1,100%
Animal_Fox_A,Grassland Fox,,Iced,Icy Meat,1,100%
Animal_Fox_B,Snowcoat Fox,,,Raw Prime Meat,1,90%
Animal_Fox_B,Snowcoat Fox,,,Raw Gourmet Meat,1,10%
Animal_Fox_B,Snowcoat Fox,,BurnedOut,Seared Prime Steak,1,90%
Animal_Fox_B,Snowcoat Fox,,BurnedOut,Seared Gourmet Steak,1,10%
Animal_Fox_B,Snowcoat Fox,,Iced,Icy Prime Meat,1,90%
Animal_Fox_B,Snowcoat Fox,,Iced,Icy Gourmet Meat,1,10%
Animal_Gull_A,Seagull,,,Raw Bird Drumstick,2,100%
Animal_Gull_A,Seagull,,BurnedOut,Roasted Bird Drumstick,2,100%
Animal_Gull_A,Seagull,,Iced,Frozen Bird Drumstick,2,100%
Animal_Hawk_A,Islander Hawk,,,Raw Bird Thigh,1,100%
Animal_Hawk_A,Islander Hawk,,BurnedOut,Roasted Bird Thigh,1,100%
Animal_Hawk_A,Islander Hawk,,Iced,Frozen Bird Thigh,1,100%
Animal_Heron_A,Blue-Winged Heron,,,Raw Bird Drumstick,2,100%
Animal_Heron_A,Blue-Winged Heron,,BurnedOut,Roasted Bird Drumstick,2,100%
Animal_Heron_A,Blue-Winged Heron,,Iced,Frozen Bird Drumstick,2,100%
Animal_Heron_B,Pink Heron,,,Raw Bird Drumstick,2,100%
Animal_Heron_B,Pink Heron,,BurnedOut,Roasted Bird Drumstick,2,100%
Animal_Heron_B,Pink Heron,,Iced,Frozen Bird Drumstick,2,100%
Animal_Insect_K,Razorclaw Crab,,BurnedOut,Blackened Crab,1,100%
Animal_Insect_K,Razorclaw Crab,,Iced,Frozen Crab,1,100%
Animal_Insect_K,Razorclaw Crab,,,Razorclaw Crab,1,100%
Animal_Insect_O,Ironshell Crab,,BurnedOut,Blackened Crab,1,100%
Animal_Insect_O,Ironshell Crab,,Iced,Frozen Crab,1,100%
Animal_Insect_O,Ironshell Crab,,,Ironshell Crab,1,100%
Animal_Insect_Z,Bright-Eyed Crab,,BurnedOut,Blackened Crab,1,100%
Animal_Insect_Z,Bright-Eyed Crab,,Iced,Frozen Crab,1,100%
Animal_Insect_Z,Bright-Eyed Crab,,,Bright-Eyed Crab,1,100%
Animal_Kokko_A,Cucco,,,Bird Egg,1,100%
Animal_Kokko_B,Cucco,,,Bird Egg,1,100%
Animal_Kokko_B2,Cucco,,,Bird Egg,1,100%
Animal_Kokko_C,Cucco,,,Bird Egg,1,100%
Animal_Kokko_C2,Cucco,,,Bird Egg,1,100%
Animal_Kokko_D,Cucco,,,Bird Egg,1,100%
Animal_Kokko_E,Cucco,,,Bird Egg,1,100%
Animal_Kokko_E2,Cucco,,,Bird Egg,1,100%
Animal_Kokko_E3,Cucco,,,Bird Egg,1,100%
Animal_Kokko_E4,Cucco,,,Bird Egg,1,100%
Animal_LittleBird_A,Common Sparrow,,,Chickaloo Tree Nut,1,100%
Animal_LittleBird_A,Common Sparrow,,BurnedOut,Roasted Tree Nut,1,100%
Animal_LittleBird_B,Red Sparrow,,,Chickaloo Tree Nut,1,100%
Animal_LittleBird_B,Red Sparrow,,BurnedOut,Roasted Tree Nut,1,100%
Animal_LittleBird_C,Blue Sparrow,,,Chickaloo Tree Nut,1,100%
Animal_LittleBird_C,Blue Sparrow,,BurnedOut,Roasted Tree Nut,1,100%
Animal_LittleBird_D,Rainbow Sparrow,,,Chickaloo Tree Nut,1,100%
Animal_LittleBird_D,Rainbow Sparrow,,BurnedOut,Roasted Tree Nut,1,100%
Animal_LittleBird_E,Sand Sparrow,,,Chickaloo Tree Nut,1,100%
Animal_LittleBird_E,Sand Sparrow,,BurnedOut,Roasted Tree Nut,1,100%
Animal_LittleBird_F,Golden Sparrow,,,Chickaloo Tree Nut,1,100%
Animal_LittleBird_F,Golden Sparrow,,BurnedOut,Roasted Tree Nut,1,100%
Animal_LittleBird_G,Rainbow Sparrow,,,Chickaloo Tree Nut,1,100%
Animal_LittleBird_G,Rainbow Sparrow,,BurnedOut,Roasted Tree Nut,1,100%
Animal_Pigeon_A,Wood Pigeon,,,Raw Bird Drumstick,2,100%
Animal_Pigeon_A,Wood Pigeon,,BurnedOut,Roasted Bird Drumstick,2,100%
Animal_Pigeon_A,Wood Pigeon,,Iced,Frozen Bird Drumstick,2,100%
Animal_Pigeon_B,Rainbow Pigeon,,,Raw Bird Thigh,2,100%
Animal_Pigeon_B,Rainbow Pigeon,,BurnedOut,Roasted Bird Thigh,2,100%
Animal_Pigeon_B,Rainbow Pigeon,,Iced,Frozen Bird Thigh,2,100%
Animal_Ptarmigan_A,White Pigeon,,,Raw Bird Thigh,1,80%
Animal_Ptarmigan_A,White Pigeon,,,Raw Whole Bird,1,20%
Animal_Ptarmigan_A,White Pigeon,,BurnedOut,Roasted Bird Thigh,1,80%
Animal_Ptarmigan_A,White Pigeon,,BurnedOut,Roasted Whole Bird,1,20%
Animal_Ptarmigan_A,White Pigeon,,Iced,Frozen Bird Thigh,1,80%
Animal_Ptarmigan_A,White Pigeon,,Iced,Frozen Whole Bird,1,20%
Animal_Ptarmigan_B,Hotfeather Pigeon,,,Raw Bird Thigh,2,100%
Animal_Ptarmigan_B,Hotfeather Pigeon,,BurnedOut,Roasted Bird Thigh,2,100%
Animal_Ptarmigan_B,Hotfeather Pigeon,,Iced,Frozen Bird Thigh,2,100%
Animal_RupeeRabbit_A,Blupee,CreateDamaged,,Green Rupee,5,65%
Animal_RupeeRabbit_A,Blupee,CreateDamaged,,Blue Rupee,5,25%
Animal_RupeeRabbit_A,Blupee,CreateDamaged,,Red Rupee,5,9%
Animal_RupeeRabbit_A,Blupee,CreateDamaged,,Purple Rupee,5,1%
Animal_SkyCassowary_A,Forest Ostrich,,,Raw Meat,2,100%
Animal_SkyCassowary_A,Forest Ostrich,,BurnedOut,Seared Steak,2,100%
Animal_SkyCassowary_A,Forest Ostrich,,Iced,Icy Meat,2,100%
Animal_SkyGull_A,Cloud Seagull,,,Raw Bird Drumstick,2,100%
Animal_SkyGull_A,Cloud Seagull,,BurnedOut,Roasted Bird Drumstick,2,100%
Animal_SkyGull_A,Cloud Seagull,,Iced,Frozen Bird Drumstick,2,100%
Animal_SkyLittleBird_F,Golden Sparrow,,,Chickaloo Tree Nut,1,100%
Animal_SkyLittleBird_F,Golden Sparrow,,BurnedOut,Roasted Tree Nut,1,100%
Animal_SkyPigeon_A,Accented Pigeon,,,Raw Bird Drumstick,2,100%
Animal_SkyPigeon_A,Accented Pigeon,,BurnedOut,Roasted Bird Drumstick,2,100%
Animal_SkyPigeon_A,Accented Pigeon,,Iced,Frozen Bird Drumstick,2,100%
Animal_Squirrel_A,Bushy-Tailed Squirrel,,,Acorn,1,100%
Animal_Squirrel_A,Bushy-Tailed Squirrel,,BurnedOut,Roasted Acorn,1,100%
Animal_WildDuck_A,Bright-Chested Duck,,,Raw Bird Drumstick,2,100%
Animal_WildDuck_A,Bright-Chested Duck,,BurnedOut,Roasted Bird Drumstick,2,100%
Animal_WildDuck_A,Bright-Chested Duck,,Iced,Frozen Bird Drumstick,2,100%
Animal_WildGoat_A,Mountain Goat,,,Raw Meat,1,100%
Animal_WildGoat_A,Mountain Goat,,BurnedOut,Seared Steak,1,100%
Animal_WildGoat_A,Mountain Goat,,Iced,Icy Meat,1,100%
Animal_Wolf_A,Maraudo Wolf,,,Raw Prime Meat,1,90%
Animal_Wolf_A,Maraudo Wolf,,,Raw Gourmet Meat,1,10%
Animal_Wolf_A,Maraudo Wolf,,BurnedOut,Seared Prime Steak,1,90%
Animal_Wolf_A,Maraudo Wolf,,BurnedOut,Seared Gourmet Steak,1,10%
Animal_Wolf_A,Maraudo Wolf,,Iced,Icy Prime Meat,1,90%
Animal_Wolf_A,Maraudo Wolf,,Iced,Icy Gourmet Meat,1,10%
Animal_Wolf_B,Wasteland Coyote,,,Raw Prime Meat,2,90%
Animal_Wolf_B,Wasteland Coyote,,,Raw Gourmet Meat,2,10%
Animal_Wolf_B,Wasteland Coyote,,BurnedOut,Seared Prime Steak,2,90%
Animal_Wolf_B,Wasteland Coyote,,BurnedOut,Seared Gourmet Steak,2,10%
Animal_Wolf_B,Wasteland Coyote,,Iced,Icy Prime Meat,2,90%
Animal_Wolf_B,Wasteland Coyote,,Iced,Icy Gourmet Meat,2,10%
Animal_Wolf_C,Cold-Footed Wolf,,,Raw Prime Meat,2,60%
Animal_Wolf_C,Cold-Footed Wolf,,,Raw Gourmet Meat,2,40%
Animal_Wolf_C,Cold-Footed Wolf,,BurnedOut,Seared Prime Steak,2,60%
Animal_Wolf_C,Cold-Footed Wolf,,BurnedOut,Seared Gourmet Steak,2,40%
Animal_Wolf_C,Cold-Footed Wolf,,Iced,Icy Prime Meat,2,60%
Animal_Wolf_C,Cold-Footed Wolf,,Iced,Icy Gourmet Meat,2,40%
Armor_Bokoblin_Junior,Bokoblin Armor,,,Armor Shard (Small),1,100%
Armor_Lynel_Boss,Lynel Armor,,,Armor Shard (Large),1,100%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee_Low,,Green Rupee,1,80%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee_Low,,Blue Rupee,1,20%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee_Middle,,Blue Rupee,1,80%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee_Middle,,Red Rupee,1,20%
AsbObj_BoneStick_A_01,Spiny Bone,,Rain,,,100%
AsbObj_BoneStick_A_01,Spiny Bone,Normal,,Fairy,1,0%
AsbObj_BoneStick_A_01,Spiny Bone,Normal,,Restless Cricket,1,10%
AsbObj_BoneStick_A_01,Spiny Bone,Normal,,Hot-Footed Frog,1,5%
AsbObj_BoneStick_A_01,Spiny Bone,Normal,,Green Rupee,1,10%
AsbObj_BoneStick_A_01,Spiny Bone,Normal,,Blue Rupee,1,5%
AsbObj_BoneStick_A_01,Spiny Bone,Normal,,Red Rupee,1,1%
AsbObj_BoneStick_A_01,Spiny Bone,Normal,,Purple Rupee,1,0.3%
AsbObj_BoneStick_A_01,Spiny Bone,Normal_NoRupee,,Fairy,1,0%
AsbObj_BoneStick_A_01,Spiny Bone,Normal_NoRupee,,Restless Cricket,1,10%
AsbObj_BoneStick_A_01,Spiny Bone,Normal_NoRupee,,Hot-Footed Frog,1,5%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee,,Green Rupee,1,45%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee,,Blue Rupee,1,32.5%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee,,Red Rupee,1,15%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee,,Purple Rupee,1,5%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee,,Silver Rupee,1,2%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee,,Gold Rupee,1,0.5%
AsbObj_BoneStick_A_01,Spiny Bone,Ore,,Amber,1,60%
AsbObj_BoneStick_A_01,Spiny Bone,Ore,,Opal,1,10%
AsbObj_BoneStick_A_01,Spiny Bone,Ore,,Topaz,1,5%
AsbObj_BoneStick_A_01,Spiny Bone,Ore,,Sapphire,1,2%
AsbObj_BoneStick_A_01,Spiny Bone,Ore,,Ruby,1,2%
AsbObj_BoneStick_A_01,Spiny Bone,Ore,,Flint,1,21%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee_High,,Blue Rupee,1,50%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee_High,,Red Rupee,1,30%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee_High,,Purple Rupee,1,13%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee_High,,Silver Rupee,1,5%
AsbObj_BoneStick_A_01,Spiny Bone,Rupee_High,,Gold Rupee,1,2%
AsbObj_BoneStick_A_01,Spiny Bone,Saihate,,Hightail Lizard,1,10%
AsbObj_BoneStick_A_01,Spiny Bone,Saihate,,Hearty Lizard,1,2%
AsbObj_BoneStick_A_01,Spiny Bone,Saihate,,Razorclaw Crab,1,10%
AsbObj_BoneStick_A_01,Spiny Bone,Saihate,,Ironshell Crab,1,10%
AsbObj_BoneStick_A_01,Spiny Bone,Gerudo_High,,Green Rupee,1,30%
AsbObj_BoneStick_A_01,Spiny Bone,Gerudo_High,,Blue Rupee,1,15%
AsbObj_BoneStick_A_01,Spiny Bone,Gerudo_High,,Red Rupee,1,2%
AsbObj_BoneStick_A_01,Spiny Bone,Gerudo_High,,Purple Rupee,1,1%
AsbObj_BoneStick_A_01,Spiny Bone,Gerudo_High,,Hightail Lizard,1,40%
AsbObj_BoneStick_A_01,Spiny Bone,Gerudo_High,,Hearty Lizard,1,2%
AsbObj_BoneStick_A_01,Spiny Bone,NoInsect,,Green Rupee,1,10%
AsbObj_BoneStick_A_01,Spiny Bone,NoInsect,,Blue Rupee,1,5%
AsbObj_BoneStick_A_01,Spiny Bone,NoInsect,,Red Rupee,1,1%
AsbObj_BoneStick_A_01,Spiny Bone,NoInsect,,Purple Rupee,1,0.3%
AsbObj_RockParts_C_S_01,Rock,Rupee_Low,,Green Rupee,1,80%
AsbObj_RockParts_C_S_01,Rock,Rupee_Low,,Blue Rupee,1,20%
AsbObj_RockParts_C_S_01,Rock,Rupee_Middle,,Blue Rupee,1,80%
AsbObj_RockParts_C_S_01,Rock,Rupee_Middle,,Red Rupee,1,20%
AsbObj_RockParts_C_S_01,Rock,,Rain,,,100%
AsbObj_RockParts_C_S_01,Rock,Normal,,Fairy,1,0%
AsbObj_RockParts_C_S_01,Rock,Normal,,Restless Cricket,1,10%
AsbObj_RockParts_C_S_01,Rock,Normal,,Hot-Footed Frog,1,5%
AsbObj_RockParts_C_S_01,Rock,Normal,,Green Rupee,1,10%
AsbObj_RockParts_C_S_01,Rock,Normal,,Blue Rupee,1,5%
AsbObj_RockParts_C_S_01,Rock,Normal,,Red Rupee,1,1%
AsbObj_RockParts_C_S_01,Rock,Normal,,Purple Rupee,1,0.3%
AsbObj_RockParts_C_S_01,Rock,Normal_NoRupee,,Fairy,1,0%
AsbObj_RockParts_C_S_01,Rock,Normal_NoRupee,,Restless Cricket,1,10%
AsbObj_RockParts_C_S_01,Rock,Normal_NoRupee,,Hot-Footed Frog,1,5%
AsbObj_RockParts_C_S_01,Rock,Rupee,,Green Rupee,1,45%
AsbObj_RockParts_C_S_01,Rock,Rupee,,Blue Rupee,1,32.5%
AsbObj_RockParts_C_S_01,Rock,Rupee,,Red Rupee,1,15%
AsbObj_RockParts_C_S_01,Rock,Rupee,,Purple Rupee,1,5%
AsbObj_RockParts_C_S_01,Rock,Rupee,,Silver Rupee,1,2%
AsbObj_RockParts_C_S_01,Rock,Rupee,,Gold Rupee,1,0.5%
AsbObj_RockParts_C_S_01,Rock,Ore,,Amber,1,60%
AsbObj_RockParts_C_S_01,Rock,Ore,,Opal,1,10%
AsbObj_RockParts_C_S_01,Rock,Ore,,Topaz,1,5%
AsbObj_RockParts_C_S_01,Rock,Ore,,Sapphire,1,2%
AsbObj_RockParts_C_S_01,Rock,Ore,,Ruby,1,2%
AsbObj_RockParts_C_S_01,Rock,Ore,,Flint,1,21%
AsbObj_RockParts_C_S_01,Rock,Rupee_High,,Blue Rupee,1,50%
AsbObj_RockParts_C_S_01,Rock,Rupee_High,,Red Rupee,1,30%
AsbObj_RockParts_C_S_01,Rock,Rupee_High,,Purple Rupee,1,13%
AsbObj_RockParts_C_S_01,Rock,Rupee_High,,Silver Rupee,1,5%
AsbObj_RockParts_C_S_01,Rock,Rupee_High,,Gold Rupee,1,2%
AsbObj_RockParts_C_S_01,Rock,Saihate,,Hightail Lizard,1,10%
AsbObj_RockParts_C_S_01,Rock,Saihate,,Hearty Lizard,1,2%
AsbObj_RockParts_C_S_01,Rock,Saihate,,Razorclaw Crab,1,10%
AsbObj_RockParts_C_S_01,Rock,Saihate,,Ironshell Crab,1,10%
AsbObj_RockParts_C_S_01,Rock,Gerudo_High,,Green Rupee,1,30%
AsbObj_RockParts_C_S_01,Rock,Gerudo_High,,Blue Rupee,1,15%
AsbObj_RockParts_C_S_01,Rock,Gerudo_High,,Red Rupee,1,2%
AsbObj_RockParts_C_S_01,Rock,Gerudo_High,,Purple Rupee,1,1%
AsbObj_RockParts_C_S_01,Rock,Gerudo_High,,Hightail Lizard,1,40%
AsbObj_RockParts_C_S_01,Rock,Gerudo_High,,Hearty Lizard,1,2%
AsbObj_RockParts_C_S_01,Rock,NoInsect,,Green Rupee,1,10%
AsbObj_RockParts_C_S_01,Rock,NoInsect,,Blue Rupee,1,5%
AsbObj_RockParts_C_S_01,Rock,NoInsect,,Red Rupee,1,1%
AsbObj_RockParts_C_S_01,Rock,NoInsect,,Purple Rupee,1,0.3%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee_Low,,Green Rupee,1,80%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee_Low,,Blue Rupee,1,20%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee_Middle,,Blue Rupee,1,80%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee_Middle,,Red Rupee,1,20%
AsbObj_RockParts_C_S_05,Blue Rock,,Rain,,,100%
AsbObj_RockParts_C_S_05,Blue Rock,Normal,,Fairy,1,0%
AsbObj_RockParts_C_S_05,Blue Rock,Normal,,Restless Cricket,1,10%
AsbObj_RockParts_C_S_05,Blue Rock,Normal,,Hot-Footed Frog,1,5%
AsbObj_RockParts_C_S_05,Blue Rock,Normal,,Green Rupee,1,10%
AsbObj_RockParts_C_S_05,Blue Rock,Normal,,Blue Rupee,1,5%
AsbObj_RockParts_C_S_05,Blue Rock,Normal,,Red Rupee,1,1%
AsbObj_RockParts_C_S_05,Blue Rock,Normal,,Purple Rupee,1,0.3%
AsbObj_RockParts_C_S_05,Blue Rock,Normal_NoRupee,,Fairy,1,0%
AsbObj_RockParts_C_S_05,Blue Rock,Normal_NoRupee,,Restless Cricket,1,10%
AsbObj_RockParts_C_S_05,Blue Rock,Normal_NoRupee,,Hot-Footed Frog,1,5%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee,,Green Rupee,1,45%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee,,Blue Rupee,1,32.5%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee,,Red Rupee,1,15%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee,,Purple Rupee,1,5%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee,,Silver Rupee,1,2%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee,,Gold Rupee,1,0.5%
AsbObj_RockParts_C_S_05,Blue Rock,Ore,,Amber,1,60%
AsbObj_RockParts_C_S_05,Blue Rock,Ore,,Opal,1,10%
AsbObj_RockParts_C_S_05,Blue Rock,Ore,,Topaz,1,5%
AsbObj_RockParts_C_S_05,Blue Rock,Ore,,Sapphire,1,2%
AsbObj_RockParts_C_S_05,Blue Rock,Ore,,Ruby,1,2%
AsbObj_RockParts_C_S_05,Blue Rock,Ore,,Flint,1,21%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee_High,,Blue Rupee,1,50%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee_High,,Red Rupee,1,30%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee_High,,Purple Rupee,1,13%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee_High,,Silver Rupee,1,5%
AsbObj_RockParts_C_S_05,Blue Rock,Rupee_High,,Gold Rupee,1,2%
AsbObj_RockParts_C_S_05,Blue Rock,Saihate,,Hightail Lizard,1,10%
AsbObj_RockParts_C_S_05,Blue Rock,Saihate,,Hearty Lizard,1,2%
AsbObj_RockParts_C_S_05,Blue Rock,Saihate,,Razorclaw Crab,1,10%
AsbObj_RockParts_C_S_05,Blue Rock,Saihate,,Ironshell Crab,1,10%
AsbObj_RockParts_C_S_05,Blue Rock,Gerudo_High,,Green Rupee,1,30%
AsbObj_RockParts_C_S_05,Blue Rock,Gerudo_High,,Blue Rupee,1,15%
AsbObj_RockParts_C_S_05,Blue Rock,Gerudo_High,,Red Rupee,1,2%
