Name,Type,ActorName,Object Map Link,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height
Second Gatehouse,Location,HyruleCastle_Hall_1,Second Gatehouse,-166.64355,859.45654,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Gatehouse,Location,HyruleCastle_Hall_2,First Gatehouse,-356.233,829.18115,110,-354,819,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observation Room,Location,HyruleCastle_Room_0,Observation Room,-253.97627,778.50775,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dining Hall,Location,HyruleCastle_Room_1,Dining Hall,-111.857925,852.1389,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Passage,Location,HyruleCastle_Room_10,East Passage,-120.38574,974.5464,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Passage,Location,HyruleCastle_Room_11,West Passage,-448.9934,858.28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guards' Chamber,Location,HyruleCastle_Room_2,Guards' Chamber,-368.7,846.5673,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Library,Location,HyruleCastle_Room_3,Library,-157.92178,1067.4507,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lockup,Location,HyruleCastle_Room_5,Lockup,-443.9,1062.2673,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princess Zelda's Room,Location,HyruleCastle_Room_6,Princess Zelda's Room,-327.72067,995.21356,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docks,Location,HyruleCastle_Room_7,Docks,-252.18289,1188.027,21,-270,1203,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princess Zelda's Study,Location,HyruleCastle_Room_8,Princess Zelda's Study,-384.15045,991.9032,315,-384,1004,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King's Study,Location,HyruleCastle_Room_9,King's Study,-173.50546,1119.7725,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Square,Location,HyruleCentralPlace,Central Square,-254.25182,416.74133,26,-253,423,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyrule Garrison Ruins,Location,HyruleGarrison,Hyrule Garrison Ruins,-596.5,-571.5,-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military Training Camp,Location,HyrulePlace,Military Training Camp,855,1427,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyrule Cathedral,Location,HyruleTemple,Hyrule Cathedral,80.041016,628.2456,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Town Watchtower,Location,HyruleTower,Castle Town Watchtower,80.49707,410.95535,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Reservoir,Location,HyruleWater,Water Reservoir,-596.67413,525.3185,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Icehouse,Location,IceHouse,Northern Icehouse,-3748.944,-2290.9067,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebonae Bridge,Location,JogoBridge,Rebonae Bridge,823.5714,-20.509705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proxim Bridge,Location,JokuBridge,Proxim Bridge,207.05984,-1604.3884,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sage Temple Ruins,Location,KaturaCastle,Sage Temple Ruins,-1352.4236,-216.81708,-105,-1358,-202,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kakariko Bridge,Location,KochuBridge,Kakariko Bridge,1784.9972,-1532.9131,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquame Bridge,Location,KunaiBridge,Aquame Bridge,-1128.8059,-1017.0533,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanayru Road - East Gate,Location,LanayruEastEntrance,Lanayru Road - East Gate,3186.6448,-1152.4255,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanayru Road - West Gate,Location,LanayruWestEntrance,Lanayru Road - West Gate,2299.1926,-713.86884,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeddo Bridge,Location,LeMarbeBridge,Jeddo Bridge,-1689.8582,-130.83578,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Twin Bridge,Location,LittleBrotherBridge,Little Twin Bridge,1713.9957,-2147.9443,10,1726,-2125,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lomei Labyrinth Island,Location,LomeiIslands,Lomei Labyrinth Island,4655.4453,3527.4072,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maritta Exchange Ruins,Location,MarritaExchange,Maritta Exchange Ruins,-1781.5714,1685.0668,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moat Bridge,Location,MasazuBridge,Moat Bridge,-613.16754,666.8855,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sokkala Bridge,Location,MinakkareBridge,Sokkala Bridge,3686.2654,1004.0167,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Sokkala Bridge,Location,MinakkareBridgeEast,East Sokkala Bridge,3860.8142,1095.1052,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Sokkala Bridge,Location,MinakkareBridgeWest,West Sokkala Bridge,3588,1024,-105,3588,1044,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lomei Labyrinth,Location,NantanCastle,South Lomei Labyrinth,-1794.9999,-3541,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gleeok Bridge,Location,NishojiBridge,Gleeok Bridge,-1310.0334,-786.8482,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Gerudo Ruins,Location,NorthGerudoRuins,North Gerudo Ruins,-3763,-2530,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge of Eldin,Location,OrdinBridge,Bridge of Eldin,2213.6404,2356.2996,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helmhead Bridge,Location,OsanjoBridge,Helmhead Bridge,398.2904,1167.3074,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outpost Ruins,Location,PostTownRuin,Outpost Ruins,-248.44038,-1688.3232,-105,-260,-1674,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring Ruins,Location,RingLegacy,Ring Ruins,1810.3679,-906.7127,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oren Bridge,Location,RirikendoBridge,Oren Bridge,2875.4521,-19.954102,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mabe Village Ruins,Location,RonronCity,Mabe Village Ruins,-37.202637,-185.71606,-105,-26,-223,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lomei Labyrinth,Location,SaihokuCastle,North Lomei Labyrinth,-824.2593,3407.2078,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarjon Bridge,Location,SarjonBridge,Sarjon Bridge,1025.1462,-3235.4595,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horwell Bridge,Location,ShichijoBridge,Horwell Bridge,680.18823,-977.8678,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanayru Promenade,Location,ShigonDam,Lanayru Promenade,2718.1865,-1116.6448,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orsedd Bridge,Location,ShijoBridge,Orsedd Bridge,517.1074,497.24396,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rauru Settlement Ruins,Location,ShinyarkiVillage,Rauru Settlement Ruins,675.8198,1282.6924,41,690,1308,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statue of the Eighth Heroine,Location,SnowStatue,Statue of the Eighth Heroine,-4362.7446,-502,465,-4365,-492,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanidin Park Ruins,Location,SojijiPark,Sanidin Park Ruins,-1630,-695.5642,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhala Bridge,Location,SotonkaBridge,Manhala Bridge,-1611.0278,-1023.41797,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbiter's Grounds,Location,SouthGerudoLegacy,Arbiter's Grounds,-4157.439,-3803.0579,28,-4157,-3753,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Columns,Location,StonePillers,Ancient Columns,-3574.3079,436.8629,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inogo Bridge,Location,SusukadiBridge,Inogo Bridge,2344.239,249.4776,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabantha Great Bridge,Location,TabantaBridge,Tabantha Great Bridge,-3110.7688,583.62305,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabantha Village Ruins,Location,TabantaVillage,Tabantha Village Ruins,-2324,1895,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thims Bridge,Location,TaserakaBridge,Thims Bridge,1283.6816,690.14014,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boneyard Bridge,Location,ToriaBridge,Boneyard Bridge,270.28714,711.8924,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carok Bridge,Location,TotsugeBridge,Carok Bridge,-1087.7875,474.6085,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse God Bridge,Location,TurasuBridge,Horse God Bridge,596.94653,-3722.3862,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moor Garrison Ruins,Location,WetGarrison,Moor Garrison Ruins,1527,218,-37,1527,208,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digdogg Suspension Bridge,Location,XekuBridge,Digdogg Suspension Bridge,-1661.37,-1531.3278,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmorae Ruins,Location,YashinoLegacy,Palmorae Ruins,3462.3003,-3378.5364,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zonai Ruins,Location,ZonauLegacy,Zonai Ruins,889.8622,-2937.3486,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gut Check Rock,Location,GameGutsCriff,Gut Check Rock,2685.9343,3471.1516,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Tree Stump,Location,BigTree,Ancient Tree Stump,-1111.9902,-415.22052,64,-1120,-387,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faron Woods,Location,FironeForestEntrance,Faron Woods,413.52988,-3030.3894,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyrule Forest Park,Location,HyrulePark,Hyrule Forest Park,192.41907,937.7456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maw of Death Mountain,Location,DeathMountain_Entrance,Maw of Death Mountain,2390.9136,1316.3468,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerudo Canyon Pass,Location,GerudoCanyon_Entrance,Gerudo Canyon Pass,-1665,-2028,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hill,Location,Kakariko_EastHill,East Hill,1867.9307,-804.0288,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyphlo Ruins,Location,BlindForest,Thyphlo Ruins,327.00436,3079.971,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
